id,name,organization,contact,description,status,website,category,timeline,color
AGCISHIPFellowCoalit,AGCI SHIP Fellow Coalition,AGCI SHIP Fellow Coalition,,Funder interested in environmental data initiatives,4. Approved,,Funder,Established/Long-running,teal
MacArthurFoundation,MacArthur Foundation,MacArthur Foundation,,Program: Climate; Interest: misinfromation interest,4. Approved,,Funder,Established/Long-running,teal
NathanCummings,Nathan Cummings,Nathan Cummings,,Funder interested in environmental data initiatives,4. Approved,,Funder,Established/Long-running,teal
PackardFoundation,Packard Foundation,Packard Foundation,,"Program: (none / slush fund); Interest: EDGI-focused, but should also benefit PEDP",4. Approved,,Funder,Established/Long-running,teal
RobertWoodJohnsonFou,Robert Wood Johnson Foundation,Robert Wood Johnson Foundation,,"Interest: (a different part of EDGI applied for an RWJF grant and got it; will have some data work, but mostly",4. Approved,,Funder,Established/Long-running,teal
SummitFoundation,Summit Foundation,Summit Foundation,,Interest: marine biodiversity,4. Approved,,Funder,Established/Long-running,teal
WokaFoundation,Woka Foundation,Woka Foundation,,Funder interested in environmental data initiatives,4. Approved,,Funder,Established/Long-running,teal
MooreFoundation,Moore Foundation,Moore Foundation,,Interest: mainly OEDP but will maybe also benefit PEDP,5. Not Active / Skipped,,Funder,Established/Long-running,teal
BallmerFoundation,Ballmer Foundation,Ballmer Foundation,,Funder interested in environmental data initiatives,5. Not Active / Skipped,,Funder,Established/Long-running,teal
GlobalDevelopmentInc,Global Development Incubator,Global Development Incubator,,Interest: Interested in impactful tools + passing back to govt as well as data collection,5. Not Active / Skipped,,Funder,Established/Long-running,teal
RohanPatel,Rohan Patel,Rohan Patel,,Program: Advisor to many philanthropies; Interest: tech talent working on climate issues,5. Not Active / Skipped,,Funder,Established/Long-running,teal
Mosaic,Mosaic,Mosaic,,Funder interested in environmental data initiatives,5. Rejected,,Funder,Established/Long-running,teal
MNetworkthroughPew,M10 Network (through Pew)?,M10 Network (through Pew)?,,Funder interested in environmental data initiatives,0. On our radar,,Funder,Established/Long-running,teal
PublicBenefitInnovat,Public Benefit Innovation Fund,Public Benefit Innovation Fund,,Funder interested in environmental data initiatives,0. On our radar,,Funder,Established/Long-running,teal
NaT,NaT,NaT,,Funder interested in environmental data initiatives,NaT,,Funder,Established/Long-running,teal
